Position,Velocity,Angle,Angular Velocity,Reward,Done,Episode,Step
-0.071,-1.101,0.055,0.671,1,0,8,5
-0.081,-0.612,0.064,0.366,1,0,8,6
-0.1,-1.224,0.087,0.916,1,0,8,7
-0.116,-0.979,0.096,0.366,1,0,8,8
-0.133,-1.101,0.12,0.977,1,0,8,9
-0.147,-0.857,0.146,1.038,1,0,8,10
-0.169,-1.346,0.161,0.61,1,0,8,11
-0.169,0.0,0.195,1.343,1,0,8,12
-0.173,-0.245,0.213,0.732,0,1,8,13
-0.04,-0.184,0.009,0.0,1,0,9,0
-0.029,0.673,0.012,0.122,1,0,9,1
-0.03,-0.061,0.012,0.0,1,0,9,2
-0.021,0.551,-0.003,-0.61,1,0,9,3
-0.004,1.04,0.0,0.122,1,0,9,4
-0.008,-0.245,0.002,0.061,1,0,9,5
-0.024,-0.979,-0.027,-1.16,1,0,9,6
-0.04,-0.979,-0.011,0.671,1,0,9,7
-0.052,-0.796,0.017,1.099,1,0,9,8
-0.071,-1.163,0.024,0.305,1,0,9,9
-0.086,-0.918,0.047,0.916,1,0,9,10
-0.082,0.245,0.068,0.855,1,0,9,11
-0.087,-0.306,0.081,0.488,1,0,9,12
-0.094,-0.49,0.085,0.183,1,0,9,13
-0.095,-0.061,0.079,-0.244,1,0,9,14
-0.08,0.979,0.114,1.404,1,0,9,15
-0.055,1.53,0.116,0.061,1,0,9,16
-0.057,-0.122,0.103,-0.488,1,0,9,17
-0.048,0.551,0.082,-0.855,1,0,9,18
-0.052,-0.245,0.094,0.488,1,0,9,19
-0.065,-0.796,0.117,0.916,1,0,9,20
-0.066,-0.061,0.117,0.0,1,0,9,21
-0.069,-0.184,0.172,2.197,1,0,9,22
-0.074,-0.306,0.193,0.855,1,0,9,23
-0.073,0.061,0.202,0.366,0,1,9,24
-0.045,0.184,0.005,0.0,1,0,10,0
-0.055,-0.612,0.008,0.122,1,0,10,1
-0.043,0.796,0.006,-0.061,1,0,10,2
-0.043,0.0,0.021,0.61,1,0,10,3
-0.059,-1.04,0.002,-0.794,1,0,10,4
